File,Type,Size,QuickFirst_Nano,QuickMed_Nano,QuickR50_Nano,QuickR100_Nano,Heap_Nano,QuickFirst_Sec,QuickMed_Sec,QuickR50_Sec,QuickR100_Sec,Heap_Sec
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/50_ran.txt,ran,50,3651784,46353,2069480,2061065,1467334,0,0,0,0,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/500_ran.txt,ran,500,1047191,5316899,3.51E+07,4.12E+07,389055,0,0,0,0,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/1000_ran.txt,ran,1000,340771,199531,1.90E+08,2.47E+08,1.01E+07,0,0,0,0,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/2000_ran.txt,ran,2000,650770,231221,5.77E+08,6.08E+08,673014,0,0,0,0,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/5000_ran.txt,ran,5000,7704630,559735,7.25E+09,7.51E+09,5698056,0,0,7,7,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/7000_ran.txt,ran,7000,1250417,782840,1.17E+10,1.18E+10,1070275,0,0,11,11,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/10000_ran.txt,ran,10000,1618070,1247828,2.33E+10,2.29E+10,1567542,0,0,23,22,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/13000_ran.txt,ran,13000,3060450,3276948,8.80E+10,7.98E+10,2078311,0,0,88,79,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/50_rev.txt,rev,50,86567,25501,1439119,2104282,30416,0,0,0,0,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/500_rev.txt,rev,500,331154,194170,6929740,1.82E+07,363646,0,0,0,0,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/1000_rev.txt,rev,1000,930163,284853,3.38E+07,3.62E+07,1046060,0,0,0,0,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/2000_rev.txt,rev,2000,2688562,71969,2.94E+08,2.07E+08,510665,0,0,0,0,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/5000_rev.txt,rev,5000,3.40E+07,201377,1.36E+09,1.16E+09,547792,0,0,1,1,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/7000_rev.txt,rev,7000,4.03E+07,306439,1.70E+09,1.77E+09,1050093,0,0,1,1,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/10000_rev.txt,rev,10000,9.60E+07,431365,3.52E+09,3.55E+09,1108604,0,0,3,3,0
/Users/christine/Documents/workspace2/Data_Structures_Lab4/src/testCases/13000_rev.txt,rev,13000,2.03E+08,607570,6.18E+09,7.14E+09,1497368,0,0,6,7,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
